business_name,street_address,st_num,st_name,city,zip_code,area_code,exchange_code,line_number
Carl's Jr,21201 Sherman Way,21201,Sherman Way,Canoga Park,91303,323,441,8878
Burger King,21227 Sherman Way,21227,Sherman Way,Canoga Park,91303,213,256,5519
Jack in the Box,2125 N Windsor Ave,2125,N Windsor Ave,Altadena,91001,323,965,8102
Subway,2132 S Fremont Ave,2132,S Fremont Ave,Alhambra,91803,310,518,6595
Pizza Hut,2133 Hacienda Blvd,2133,Hacienda Blvd,Hacienda Heights,91745,818,362,6741
El Pollo Loco,21610 Valley Blvd,21610,Valley Blvd,Walnut,91789,818,897,8968
Little Belize Restaurant,217 E Nutwood St,217,E Nutwood St,Inglewood,90301,310,674,0696
El Zocalo,217 W Rosecrans Ave,217,W Rosecrans Ave,Compton,90222,310,834,5600
Fresh and Meaty Burgers,21780 S Avalon Blvd,21780,S Avalon Blvd,Carson,90745,424,536,3046
Subway,2180 Westwood Blvd,2180,Westwood Blvd,Los Angeles,90025,626,454,4890
Subway,2183 E South St,2183,E South St,Long Beach,90805,323,264,8885
Jack in the Box,2186 Redondo Beach Blvd,2186,Redondo Beach Blvd,Torrance,90504,562,602,1100
Pizza Hut,220 E Palmdale Blvd,220,E Palmdale Blvd,Palmdale,93550,310,373,1616
El Pollo Loco,2200 Clark Ave,2200,Clark Ave,Long Beach,90815,562,496,1664
Pizza Hut,2208 Artesia Blvd,2208,Artesia Blvd,Torrance,90504,818,893,3333
Pizza Hut,2208 Foothill Blvd,2208,Foothill Blvd,La Verne,91750,323,585,2500
Kentucky Fried Chicken,221 S Long Beach Blvd,221,S Long Beach Blvd,Compton,90221,310,617,6075
Pizza Hut,2211 N Lake Ave,2211,N Lake Ave,Altadena,91001,310,695,9838
Kentucky Fried Chicken,2215 Sepulveda Blvd,2215,Sepulveda Blvd,Torrance,90501,661,948,8473
Tottino's Pizza & Louisiana Fried Chicken,2216 W El Segundo Blvd,2216,W El Segundo Blvd,Gardena,90249,310,327,4002
Pizza Hut,2218 S Garey Ave,2218,S Garey Ave,Pomona,91766,818,772,0700
Jack in the Box,2220 W Slauson Ave,2220,W Slauson Ave,Los Angeles,90043,747,202,0303
El Pollo Loco,2221 E Palmdale Blvd,2221,E Palmdale Blvd,Palmdale,93550,818,353,5789
Domino's Pizza,2221 Palo Verde Ave,2221,Palo Verde Ave,Long Beach,90815,323,262,3030
Jack in the Box,22220 S Wilmington Ave,22220,S Wilmington Ave,Carson,90745,818,240,0450
Subway,22232 S Wilmington St,22232,S Wilmington St,Carson,90745,562,728,8434
Subway,2225 E Huntington Dr,2225,E Huntington Dr,Duarte,91010,323,294,3300
Jack in the Box,2225 Foothill Blvd,2225,Foothill Blvd,La Canada,91011,626,569,0363
Pizza Hut,22323 Sherman Way,22323,Sherman Way,Canoga Park,91303,323,291,4000
Subway,2250 S Atlantic Blvd,2250,S Atlantic Blvd,Monterey Park,91754,323,755,1199
Fat Burger,2251 W Rosecrans Ave,2251,W Rosecrans Ave,Compton,90222,310,764,1771
El Pollo Loco,2258 S Atlantic Blvd,2258,S Atlantic Blvd,Monterey Park,91754,949,292,2701
El Salsabor,2262 Venice Blvd,2262,Venice Blvd,Los Angeles,90006,323,732,7742
Domino's Pizza,22643 Ventura Blvd,22643,Ventura Blvd,Woodland Hills,91364,818,954,9605
Jack in the Box,22664 Ventura Blvd,22664,Ventura Blvd,Woodland Hills,91367,818,891,0195
Jack in the Box,22730 Victory Blvd,22730,Victory Blvd,Woodland Hills,91364,626,571,5462
Subway,22800 Victory Blvd,22800,Victory Blvd,Woodland Hills,91367,626,458,5543
Jack in the Box,22908 Lyons Ave,22908,Lyons Ave,Santa Clarita,91321,310,603,8728
Kentucky Fried Chicken,2294 N Garey Ave,2294,N Garey Ave,Pomona,91766,562,926,7670
Kentucky Fried Chicken,2294 N Garey Ave,2294,N Garey Ave,Pomona,91767,562,925,1983
Wienerschnitzel,230 N Gaffey St,230,N Gaffey St,San Pedro,90731,818,506,9086
Pizza Hut,2301 N Garey Ave,2301,N Garey Ave,Pomona,91766,626,307,5533
Jack in the Box,23017 Pacific Coast Hwy,23017,Pacific Coast Hwy,Malibu,90265,310,370,9262
Jack in the Box,2305 N Lake Ave,2305,N Lake Ave,Altadena,91001,661,949,8975
El Pollo Loco,2312 S Azusa Ave,2312,S Azusa Ave,West Covina,91792,818,763,7945
Maples Restaurant,232 E 6th St,232,E 6th St,Los Angeles,90014,213,622,2663
Subway,2321 E Avenue S,2321,E Avenue S,Palmdale,93550,310,513,9028
Pizza Hut,23301 S Main St,23301,S Main St,Carson,90745,323,256,5700
Ted's Place,23401 Normandie Ave,23401,Normandie Ave,Harbor City,90710,310,891,3000
Pizza Hut,23430 Lyons Ave,23430,Lyons Ave,Newhall,91321,562,948,1191
Vallarta Supermarket,23449 Lyons Ave,23449,Lyons Ave,Valencia,91355,661,266,1398
El Pollo Loco,235 S Glendale Ave,235,S Glendale Ave,Glendale,91205,818,557,0683
Kentucky Fried Chicken,2351 E Avenue S,2351,E Avenue S,Palmdale,93550,626,797,1127
Domino's Pizza,23565 S Avalon Blvd,23565,S Avalon Blvd,Carson,90745,818,996,9690
El Pollo Loco,2360 Foothill Blvd,2360,Foothill Blvd,La Verne,91750,323,261,4671
Yoshinoya Beef Bowl,2360 Pico Blvd,2360,Pico Blvd,Santa Monica,90405,562,867,4272
Pizza Hut,23717 Victory Blvd,23717,Victory Blvd,West Hills,91307,562,597,2900
Jack in the Box,23813 S Avalon Blvd,23813,S Avalon Blvd,Carson,90745,818,896,6362
Dulan's Soul Food Kitchen,239 E Manchester Blvd,239,E Manchester Blvd,Inglewood,90301,310,671,3345
Roman's Pizza,240 N Virgil Ave,240,N Virgil Ave,Los Angeles,90004,213,386,9099
El Merendero Bakery,240 S Garey Ave,240,S Garey Ave,Pomona,91766,909,622,2430
Spiro's Burgers,240 S Pacific Ave,240,S Pacific Ave,San Pedro,90731,310,831,8985
Louisiana Best Seafood,2400 Atlantic Ave,2400,Atlantic Ave,Long Beach,90806,562,424,0298
Carl's Jr,2400 S Azusa Ave,2400,S Azusa Ave,West Covina,91792,714,736,8900
